inei,reniec,departamento,iso_3166_2,fips,capital,superficie,pob_densidad_2020,altitude,latitude,longitude,indice_densidad_estado,indice_vulnerabilidad_alimentaria,idh_2019,pct_pobreza_total,pct_pobreza_extrema
010000,010000,AMAZONAS,PE-AMA,01,Chachapoyas,39249.13,12.0510441887502,2338,-6.22944444444445,-77.8727777777777,0.66289520000000002,0.86835986375808705,0.41773584000101999,32.95,7.3
020000,020000,ANCASH,PE-ANC,02,Huaraz,35881.3,34.7325487092162,3073,-9.52972222222222,-77.5291666666667,0.73513669999999998,0.50199431180954002,0.51593385017743099,32.95,3.05
030000,030000,APURIMAC,PE-APU,03,Abancay,20895.77,22.0291475260304,2500,-13.6288888888889,-72.8861111111111,0.74327639999999995,0.56846666336059604,0.410925842252991,32.95,7.3
040000,040000,AREQUIPA,PE-ARE,04,Arequipa,63343.95,24.5681868592028,2429,-16.3933333333333,-71.5288888888889,0.80122040000000005,0.23785108327865601,0.64254532036608902,17.3,3.05
050000,050000,AYACUCHO,PE-AYA,05,Ayacucho,43803.26,15.7534621852346,2797,-13.1602777777778,-74.2252777777778,0.73184249999999995,0.52495837211608898,0.43274119480844903,43.65,12.95
060000,060000,CAJAMARCA,PE-CAJ,06,Cajamarca,33304.32,48.1475376167416,2731,-7.15472222222222,-78.5108333333333,0.69172579999999995,0.83543694019317605,0.42511817746726099,43.65,12.95
070000,240000,CALLAO,PE-CAL,07,Callao,145.91,7867.5279281749,27,-12.0630555555556,-77.1469444444445,0.80842821602375403,0.27168303728103599,0.64016310985959901,32.95,3.05
080000,070000,CUSCO,PE-CUS,08,Cusco,71986.5,20.2949580824182,3439,-13.5191666666667,-71.9766666666667,0.74485829999999997,0.46843355894088701,0.51207166135561799,32.95,7.3
090000,080000,HUANCAVELICA,PE-HUV,09,Huancavelica,22125.2,19.6677092184477,3746,-12.7869444444444,-74.9713888888889,0.69791349999999996,0.66552585363388095,0.38382533756850301,43.65,12.95
100000,090000,HUANUCO,PE-HUC,10,Huánuco,37263.44,23.235106581679,1921,-9.93,-76.2397222222222,0.65503259999999996,0.627072513103485,0.45365158611266998,43.65,12.95
110000,100000,ICA,PE-ICA,11,Ica,21305.51,44.0383262357953,432,-14.0636111111111,-75.7291666666667,0.77821819999999997,0.331079721450806,0.59998634511444804,8.95,0.55
120000,110000,JUNIN,PE-JUN,12,Huancayo,44328.8,31.7676544368447,3294,-12.070833333333301,-75.2088888888889,0.73388790000000004,0.496396243572235,0.51074940980480499,32.95,7.3
130000,120000,LA LIBERTAD,PE-LAL,13,Trujillo,25495.42,80.587768312897,74,-8.1,-79.0305555555556,0.76616280000000003,0.51852118968963601,0.54822444000911097,32.95,7.3
140000,130000,LAMBAYEQUE,PE-LAM,14,Chiclayo,14461.52,96.3348251082874,28,-6.76694444444444,-79.8505555555555,0.76651939999999996,0.46734809875488298,0.53425199463491302,17.3,0.55
150000,140000,LIMA,PE-LIM,15,Lima,34823.52,323.375322196033,162.42,-12.0452777777778,-77.0308333333333,0.82746140000000001,0.26664412021637002,0.70733610728959495,26.25,3.05
160000,150000,LORETO,PE-LOR,16,Iquitos,368799.48,3.1311486664786,107,-3.74805555555556,-73.2441666666667,0.61634730000000004,0.57520836591720603,0.48337695031612099,32.95,7.3
170000,160000,MADRE DE DIOS,PE-MDD,17,Puerto Maldonado,85300.54,2.08171015095567,204,-12.5936111111111,-69.1766666666667,0.71712509999999996,0.28459566831588801,0.613593303241319,8.95,3.05
180000,170000,MOQUEGUA,PE-MOQ,18,Moquegua,15733.88,12.5602839223383,1428,-17.1941666666667,-70.9333333333333,0.77619669999999996,0.29886114597320601,0.65891337141704898,17.3,3.05
190000,180000,PASCO,PE-PAS,19,Cerro de Pasco,25025.84,11.7630417200781,4373,-10.6825,-76.2569444444444,0.70126630000000001,0.53396260738372803,0.47846783424381301,43.65,12.95
200000,190000,PIURA,PE-PIU,20,Piura,35656.18,58.0389149931372,57,-5.1525,-80.6577777777778,0.70486139999999997,0.61834031343460105,0.51300553496337797,32.95,3.05
210000,200000,PUNO,PE-PUN,21,Puno,66993.52,19.095727467373,3848,-15.8402777777778,-70.0280555555555,0.65319369999999999,0.45956039428710899,0.46558645963603701,43.65,7.3
220000,210000,SAN MARTIN,PE-SAM,22,Moyobamba,51305.78,18.8172170854824,895,-6.03472222222222,-76.9741666666667,0.7017407,0.81733870506286599,0.48320026349549799,26.25,3.05
230000,220000,TACNA,PE-TAC,23,Tacna,16075.73,23.6007944895815,583,-18.0019444444444,-70.2519444444444,0.77617939999999996,0.26856184005737299,0.590028467921762,26.25,3.05
240000,230000,TUMBES,PE-TUM,24,Tumbes,4668.5,53.142765342187,9,-3.57111111111111,-80.4591666666667,0.74255760000000004,0.50692689418792702,0.55517195791639395,32.95,3.05
250000,250000,UCAYALI,PE-UCA,25,Pucallpa,102199.28,6.19242131647111,162,-8.36805555555556,-74.5433333333333,0.63975139999999997,0.40916281938552901,0.483524010358863,26.25,3.05
